Num,WriteT,WriteV,ReadT,ReadV,
808,20,102400,53649,38,
810,21,97523,26632,76,
812,30,68266,-843714,-2,
814,20,102400,39952,51,
816,21,97523,25724,79,
818,21,97523,39998,51,
820,21,97523,29219,70,
822,30,68266,60007,34,
824,21,97523,35006,58,
826,21,97523,31099,65,
828,21,97523,53501,38,
830,21,97523,50136,40,
832,30,68266,69515,29,
834,22,93090,48244,42,
836,21,97523,42211,48,
838,22,93090,28592,71,
840,21,97523,49139,41,
842,31,66064,74622,27,
844,21,97523,37590,54,
846,32,64000,28986,70,
848,22,93090,29616,69,
850,31,66064,-850304,-2,
852,21,97523,34155,59,
854,21,97523,43959,46,
856,21,97523,51611,39,
858,22,93090,50461,40,
860,32,64000,69595,29,
862,22,93090,53073,38,
864,22,93090,29737,68,
866,21,97523,47618,43,
868,22,93090,45402,45,
870,32,64000,80436,25,
872,22,93090,61801,33,
874,22,93090,36292,56,
876,22,93090,36529,56,
878,22,93090,50114,40,
880,32,64000,49169,41,
882,23,89043,43952,46,
884,23,89043,-854871,-2,
886,23,89043,54598,37,
888,33,62060,67183,30,
890,22,93090,56605,36,
892,22,93090,59422,34,
894,22,93090,35190,58,
896,22,93090,33176,61,
898,34,60235,54922,37,
900,23,89043,51100,40,
902,22,93090,59496,34,
904,23,89043,42983,47,
906,23,89043,56463,36,
908,34,60235,73737,27,
910,23,89043,50911,40,
912,23,89043,44129,46,
914,23,89043,30733,66,
916,33,62060,-826688,-2,
918,23,89043,47064,43,
920,22,93090,50109,40,
922,24,85333,31379,65,
924,23,89043,31860,64,
926,34,60235,71774,28,
928,23,89043,50779,40,
930,23,89043,48722,42,
932,24,85333,55062,37,
934,24,85333,41122,49,
936,35,58514,54624,37,
938,24,85333,39956,51,
940,24,85333,36957,55,
942,23,89043,39116,52,
944,24,85333,42322,48,
946,36,56888,54533,37,
948,23,89043,64695,31,
950,23,89043,-833934,-2,
952,54,37925,59830,34,
954,36,56888,66168,30,
956,24,85333,48287,42,
958,24,85333,38368,53,
960,25,81920,62362,32,
962,24,85333,36509,56,
964,37,55351,49577,41,
966,23,89043,36811,55,
968,24,85333,36333,56,
970,25,81920,52608,38,
972,24,85333,40191,50,
974,36,56888,55188,37,
976,25,81920,37752,54,
978,24,85333,47598,43,
980,25,81920,46583,43,
982,37,55351,53102,38,
984,25,81920,-840620,-2,
986,24,85333,40296,50,
988,24,85333,40563,50,
990,24,85333,68269,29,
992,36,56888,72386,28,
994,25,81920,48668,42,
996,56,36571,38525,53,
998,25,81920,49791,41,
1000,26,78769,69028,29,
1002,37,55351,91739,22,
1004,26,78769,52782,38,
1006,25,81920,52167,39,
1008,26,78769,36901,55,
1010,26,78769,65520,31,
1012,36,56888,78124,26,
1014,25,81920,-852091,-2,
1016,25,81920,34017,60,
1018,26,78769,53119,38,
1020,37,55351,49522,41,
1022,26,78769,40541,50,
1024,26,78769,37403,54,
